City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
363,Baykit,RU,61.67,96.37,-1.62,97,99,1.48,overcast clouds
364,Vaitape,PF,-16.5167,-151.75,80.13,80,7,18.07,light rain
365,Meulaboh,ID,4.1363,96.1285,84.04,71,37,4.92,scattered clouds
366,Roma,US,43.2128,-75.4557,35.46,93,1,0.0,clear sky
367,Lyuban,BY,52.7985,28.0048,46.83,69,100,23.53,overcast clouds
368,Kudat,MY,6.8837,116.8477,87.73,74,20,6.91,few clouds
369,Port-Gentil,GA,-0.7193,8.7815,78.76,94,75,4.61,light rain
370,Koslan,RU,63.4564,48.8989,29.55,94,100,9.48,light snow
371,Knokke-Heist,BE,51.3333,3.3333,52.02,87,84,3.0,broken clouds
372,Vengurla,IN,15.8667,73.6333,83.35,71,100,5.01,light rain
373,Qaqortoq,GL,60.7167,-46.0333,33.01,96,100,23.11,snow
374,Atherton,GB,53.5237,-2.4935,51.71,81,100,9.35,overcast clouds
375,Port Lincoln,AU,-34.7333,135.8667,59.74,60,1,17.58,clear sky
376,Isangel,VU,-19.55,169.2667,80.71,83,75,0.0,moderate rain
377,Oranjestad,AW,12.524,-70.027,80.55,83,40,12.66,scattered clouds
378,Contai,IN,21.7786,87.7536,83.52,48,10,4.54,clear sky
379,Omboue,GA,-1.5746,9.2618,77.56,87,98,4.38,overcast clouds
380,Yerbogachen,RU,61.2767,108.0108,3.72,95,100,4.85,overcast clouds
381,Bonthe,SL,7.5264,-12.505,77.58,89,8,2.59,light rain
382,Altamira,BR,-3.2033,-52.2064,72.99,97,87,2.15,overcast clouds
383,Dzaoudzi,YT,-12.7887,45.2699,87.69,62,75,10.36,broken clouds
384,Hasaki,JP,35.7333,140.8333,59.4,58,91,13.71,overcast clouds
385,Dukat,RU,62.55,155.55,3.22,99,100,2.17,overcast clouds
386,Mattru,SL,7.6244,-11.8332,74.82,96,6,2.01,clear sky
387,Formosa,AR,-26.1775,-58.1781,64.38,88,0,2.3,clear sky
388,Riyadh,SA,24.6877,46.7219,73.54,26,0,18.97,clear sky
389,Klaksvik,FO,62.2266,-6.589,41.92,84,100,6.58,overcast clouds
390,Ho Chi Minh City,VN,10.75,106.6667,86.02,74,40,1.14,scattered clouds
391,Gunnedah,AU,-30.9833,150.25,71.22,87,100,1.01,overcast clouds
392,San Carlos,VE,9.6612,-68.5827,73.27,82,100,3.15,overcast clouds
393,Lixourion,GR,38.2019,20.4314,61.48,77,10,3.47,clear sky
394,Boende,CD,-0.2167,20.8667,78.03,80,19,1.25,few clouds
