City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Kemijarvi,FI,2021-11-18 04:28:44,66.7131,27.4306,34.83,98,100,9.31
154,Vaitape,PF,2021-11-18 04:28:44,-16.5167,-151.75,79.81,75,100,20.83
155,Taoudenni,ML,2021-11-18 04:28:45,22.6783,-3.9836,72.21,17,99,5.79
156,Jamestown,US,2021-11-18 04:28:45,42.097,-79.2353,63.99,63,90,16.11
157,Nantucket,US,2021-11-18 04:28:26,41.2835,-70.0995,55.54,79,75,10.36
158,Padang,ID,2021-11-18 04:28:45,-0.9492,100.3543,86.05,69,100,4.25
159,Presidente Venceslau,BR,2021-11-18 04:28:46,-21.8761,-51.8439,75.4,94,100,7.11
160,Araouane,ML,2021-11-18 04:28:46,18.9048,-3.5265,70.9,14,84,7.47
161,Pasni,PK,2021-11-18 04:28:46,25.2631,63.471,71.15,35,0,23.62
162,Bethel,US,2021-11-18 04:28:47,41.3712,-73.414,55.98,87,1,0.0
163,Cap-Chat,CA,2021-11-18 04:28:47,49.1001,-66.6821,33.8,80,100,6.91
164,Ganzhou,CN,2021-11-18 04:28:47,28.8184,115.4327,68.41,48,3,3.2
165,Valdivia,CL,2021-11-18 04:28:48,-39.8142,-73.2459,51.89,93,83,1.61
166,Kangalassy,RU,2021-11-18 04:28:48,62.3464,129.9628,-13.07,92,11,4.03
167,Dukat,RU,2021-11-18 04:28:48,62.55,155.55,0.66,99,99,1.97
168,Ambunti,PG,2021-11-18 04:28:49,-4.2365,142.8448,95.81,43,55,2.1
169,Margate,GB,2021-11-18 04:28:49,51.3813,1.3862,45.95,85,100,1.01
170,Luanda,AO,2021-11-18 04:28:49,-8.8368,13.2343,75.2,94,75,2.3
171,Pisco,PE,2021-11-18 04:25:04,-13.7,-76.2167,62.65,82,0,0.0
172,Kushima,JP,2021-11-18 04:28:50,31.4583,131.2333,64.44,80,100,4.97
173,East London,ZA,2021-11-18 04:28:50,-33.0153,27.9116,61.74,94,75,16.11
174,Kavieng,PG,2021-11-18 04:28:50,-2.5744,150.7967,84.74,68,8,7.81
175,Kidal,ML,2021-11-18 04:28:51,18.4411,1.4078,69.17,14,47,10.31
